name,href,price,Subcategory,SubSubCategory,request_avg_time
Base MK2 Basin Mixer Tap Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/base-mk2-basin-mixer-tap-chrome-4-star-9503409,6,Basin Tapware,Basin Mixers,1.681137204170227
Posh Solus MK3 Basin Mixer Tap Chrome    (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/posh-solus-mk3-basin-mixer-tap-chrome-4-star-9508807,62,Basin Tapware,Basin Mixers,1.681137204170227
Posh Bristol MK2 Basin Mixer Tap Chrome  (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/posh-bristol-mk2-basin-mixer-tap-chrome-4-star-9505245,40,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Drift MK2 Basin Mixer Tap Chrome    (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-drift-mk2-basin-mixer-tap-chrome-5-star-9509112,16,Basin Tapware,Basin Mixers,1.681137204170227
Posh Bristol MK2 Swivel Basin Mixer Tap  Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/posh-bristol-mk2-swivel-basin-mixer-tap-chrome-4-9505246,98,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Soothe Basin Mixer Tap Chrome (4    Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-soothe-basin-mixer-tap-chrome-4-star-9503817,16,Basin Tapware,Basin Mixers,1.681137204170227
Posh Bristol MK2 Basin Mixer Tap with    Extended Lever Chrome (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/posh-bristol-mk2-basin-mixer-tap-with-extended-9505250,94,Basin Tapware,Basin Mixers,1.681137204170227
GROHE BauEdge Basin Mixer Tap Chrome (5  Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-bauedge-basin-mixer-tap-chrome-5-star-9506728,41,Basin Tapware,Basin Mixers,1.681137204170227
GROHE Eurosmart New Basin Mixer Tap      Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/grohe-eurosmart-new-basin-mixer-tap-chrome-5-9506732,79,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Bloc MK2 Basin Mixer Tap Chrome (4  Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-bloc-mk2-basin-mixer-tap-chrome-4-star-9508067,83,Basin Tapware,Basin Mixers,1.681137204170227
Posh Solus MK2 Basin Mixer Tap Chrome    Plated (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/posh-solus-mk2-basin-mixer-tap-chrome-plated-4-9502635,94,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Silk Basin Mixer Matte Black (5     Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-silk-basin-mixer-matte-black-5-star-9510731,56,Basin Tapware,Basin Mixers,1.681137204170227
